 9  1.0 1.0
 0.0 24 
       3.800    -47.822     -20.847    387.221    -503.493   -153.397 
       4.000    -86.785     -69.224    241.359    -366.740    -98.435 
       4.200    -98.251     -86.860    149.525    -267.979    -64.288 
       4.400    -95.305     -87.945     92.101    -196.687    -42.688 
       4.600    -85.708     -80.970     56.423    -145.207    -28.801 
       4.800    -73.798     -70.760     34.377    -107.909    -19.756 
       5.000    -61.879     -59.939     20.835     -80.814    -13.779 
       5.200    -51.029     -49.796     12.568     -61.032     -9.780 
       5.400    -41.658     -40.879      7.544     -46.499     -7.070 
       5.500    -37.552     -36.934      5.836     -40.729     -6.052 
       6.000    -22.192     -22.001      1.600     -21.765     -2.973 
       6.500    -13.255     -13.198      0.435     -12.326     -1.622 
       7.000     -8.138      -8.121      0.118      -7.363     -0.962 
       7.500     -5.165      -5.160      0.030      -4.607     -0.607 
       8.000     -3.387      -3.385      0.006      -2.998     -0.400 
       9.000     -1.584      -1.584      0.001      -1.393     -0.190 
       9.500     -1.123      -1.123      0.000      -0.986     -0.136 
90.00000 31
       2.200   5074.053    5770.139  11069.765   -5673.911 -11737.288 
       2.400   3432.827    3907.273   7292.920   -4258.595  -6386.484 
       2.600   2184.140    2504.155   4793.189   -3164.464  -3492.825 
       2.800   1293.494    1507.632   3129.406   -2333.114  -1935.115 
       3.000    697.160     839.518   2026.520   -1709.953  -1092.466 
       3.200    321.274     415.380   1301.317   -1247.890   -630.557 
       3.400     98.921     160.833    828.942    -908.432   -372.185 
       3.600    -22.910      17.629    523.795    -660.585   -224.396 
       3.800    -82.043     -55.614    328.547    -480.562   -138.055 
       4.000   -104.258     -87.095    204.672    -350.267    -86.557 
       4.200   -106.150     -95.046    126.711    -256.159    -55.230 
       4.400    -97.929     -90.771     77.993    -188.202    -35.836 
       4.600    -85.569     -80.972     47.738    -139.067    -23.643 
       4.800    -72.352     -69.411     29.064    -103.463    -15.870 
       5.000    -59.927     -58.054     17.598     -77.562    -10.847 
       5.200    -49.005     -47.817     10.605     -58.647     -7.558 
       5.400    -39.769     -39.019      6.362     -44.743     -5.372 
       5.500    -35.764     -35.169      4.920     -39.213     -4.563 
       5.600    -32.143     -31.672      3.801     -34.447     -3.896 
       5.800    -25.956     -25.661      2.265     -26.777     -2.882 
       6.000    -20.982     -20.799      1.347     -21.014     -2.174 
       6.250    -16.142     -16.041      0.703     -15.724     -1.570 
       6.500    -12.494     -12.440      0.366     -11.930     -1.164 
       6.750     -9.745      -9.715      0.190      -9.173     -0.884 
       7.000     -7.663      -7.647      0.099      -7.141     -0.684 
       7.250     -6.078      -6.069      0.051      -5.623     -0.538 
       7.500     -4.862      -4.857      0.026      -4.475     -0.430 
       8.000     -3.186      -3.185      0.007      -2.915     -0.283 
       8.500     -2.151      -2.151      0.002      -1.962     -0.192 
       9.000     -1.491      -1.491      0.001      -1.358     -0.134 
       9.500     -1.057      -1.057      0.001      -0.962     -0.096 
111.29177 29
       2.200   4335.196    5031.459  10915.635   -5718.270 -12725.560 
       2.400   3035.245    3513.993   7224.782   -4304.452  -6860.070 
       2.600   1985.575    2311.106   4783.267   -3208.417  -3713.349 
       2.800   1201.352    1420.696   3148.541   -2372.622  -2034.357 
       3.000    657.649     804.271   2055.619   -1743.770  -1135.234 
       3.200    305.630     402.954   1330.378   -1275.849   -648.129 
       3.400     93.029     157.247    853.885    -930.995   -379.220 
       3.600    -25.554      16.584    543.490    -678.451   -227.388 
       3.800    -84.161     -56.653    343.197    -494.472   -139.699 
       4.000   -106.676     -88.797    215.143    -360.968    -87.878 
       4.200   -108.932     -97.357    133.966    -264.309    -56.541 
       4.400   -100.889     -93.423     82.908    -194.372    -37.172 
       4.600    -88.495     -83.696     51.014    -143.727    -24.955 
       4.800    -75.091     -72.018     31.216    -106.978    -17.105 
       5.000    -62.394     -60.434     18.998     -80.222    -11.971 
       5.200    -51.157     -49.912     11.503     -60.654     -8.553 
       5.400    -41.609     -40.822      6.933     -46.262     -6.236 
       5.500    -37.460     -36.835      5.373     -40.541     -5.365 
       5.600    -33.702     -33.207      4.161     -35.610     -4.637 
       5.800    -27.257     -26.947      2.489     -27.667     -3.510 
       6.000    -22.061     -21.868      1.485     -21.698     -2.704 
       6.250    -16.993     -16.886      0.777     -16.223     -1.995 
       6.500    -13.167     -13.109      0.404     -12.300     -1.505 
       7.000     -8.083      -8.066      0.108      -7.349     -0.905 
       7.500     -5.127      -5.122      0.030      -4.598     -0.576 
       8.000     -3.358      -3.357      0.010      -2.992     -0.381 
       8.500     -2.266      -2.266      0.005      -2.012     -0.261 
       9.000     -1.570      -1.570      0.003      -1.391     -0.183 
       9.500     -1.113      -1.113      0.002      -0.984     -0.131 
132.624158 29 
       2.200   3962.069    4661.760  11284.015   -5912.442 -13717.301 
